7.50, 0.03
19.90, 0.03
21.35, 0.10
23.51, 0.12
28.27, 0.12
35.34, 0.11
40.96, 0.12
46.88, 0.12
51.92, 0.14
53.94, 0.27
59.86, 0.34
69.23, 0.36
69.81, 0.33
71.25, 0.38
73.85, 0.36
75.14, 0.42
76.30, 0.38
78.17, 1.41
83.80, 1.77
86.11, 1.67
88.56, 1.80
93.03, 1.70
95.77, 1.82
99.66, 1.84
99.52, 1.70
101.39, 1.84
104.71, 1.77
106.59, 1.64
109.04, 1.84
111.35, 1.76
112.07, 1.70
113.08, 1.74
113.94, 1.72
116.54, 1.83
121.15, 1.68
122.02, 1.68
124.90, 1.76
127.93, 1.55
130.96, 1.77
131.54, 1.74
132.40, 1.79
135.14, 1.71
136.59, 1.79
138.61, 1.81
143.08, 1.52
144.52, 1.72
145.67, 1.71
146.68, 1.74
148.41, 1.66
148.70, 1.65
152.31, 1.84
155.91, 1.65
157.93, 1.81
159.52, 1.80
162.98, 1.68
164.71, 1.77
169.76, 1.59
172.79, 1.67
